timestamp,SYN_BENCH,SYN_ORBIT,SYN_CEDAR,SYN_HARBOR,SYN_RIDGE
2025-10-13 09:30:00,99.600000,47.807473,73.265672,35.794756,59.507984
2025-10-13 10:30:00,99.800000,47.917873,73.457036,35.899156,59.699739
2025-10-13 11:30:00,100.100000,48.083473,73.744082,36.055756,59.987370
2025-10-13 12:30:00,99.900000,47.973073,73.552718,35.951356,59.795616
2025-10-13 13:30:00,100.250000,48.166273,73.887606,36.134056,60.131186
2025-10-13 14:30:00,100.150000,48.111073,73.791924,36.081856,60.035309
2025-10-13 15:30:00,100.000000,48.000000,73.601552,36.000000,59.923238
2025-10-14 09:30:00,99.832909,48.140011,73.333673,35.617900,59.564979
2025-10-14 10:30:00,100.033349,48.251173,73.525224,35.721794,59.756927
2025-10-14 11:30:00,100.334008,48.417915,73.812551,35.877634,60.044847
2025-10-14 12:30:00,100.133569,48.306754,73.621000,35.773740,59.852900
2025-10-14 13:30:00,100.484338,48.501287,73.956214,35.955554,60.188808
2025-10-14 14:30:00,100.384118,48.445706,73.860438,35.903607,60.092834
2025-10-14 15:30:00,100.219851,48.331228,73.673415,35.825271,59.983498
2025-10-15 09:30:00,100.063468,48.467308,73.368296,35.449211,59.597588
2025-10-15 10:30:00,100.264343,48.579221,73.559949,35.552621,59.789648
2025-10-15 11:30:00,100.565657,48.747092,73.847428,35.707737,60.077738
2025-10-15 12:30:00,100.364781,48.635178,73.655775,35.604326,59.885678
2025-10-15 13:30:00,100.716314,48.831027,73.991168,35.785295,60.221783
2025-10-15 14:30:00,100.615876,48.775070,73.895341,35.733589,60.125753
2025-10-15 15:30:00,100.437840,48.658030,73.712637,35.658732,60.018774
2025-10-16 09:30:00,100.288817,48.782634,73.370581,35.295606,59.605221
2025-10-16 10:30:00,100.490120,48.895274,73.562254,35.398577,59.797312
2025-10-16 11:30:00,100.792075,49.064233,73.849762,35.553034,60.085449
2025-10-16 12:30:00,100.590772,48.951593,73.658090,35.450063,59.893358
2025-10-16 13:30:00,100.943053,49.148713,73.993517,35.630262,60.229517
2025-10-16 14:30:00,100.842401,49.092393,73.897680,35.578777,60.133471
2025-10-16 15:30:00,100.651641,48.973718,73.720171,35.507297,60.028440
2025-10-17 09:30:00,100.506189,49.079491,73.342272,35.163330,59.587628
2025-10-17 10:30:00,100.707907,49.192816,73.533886,35.265924,59.779667
2025-10-17 11:30:00,101.010484,49.362804,73.821306,35.419815,60.067725
2025-10-17 12:30:00,100.808766,49.249479,73.629693,35.317221,59.875686
2025-10-17 13:30:00,101.161773,49.447798,73.965017,35.496760,60.211755
2025-10-17 14:30:00,101.060914,49.391135,73.869210,35.445463,60.115735
